109.252,	0:	8,55%	
622.114,	50:	47,78%	
1172.601,	100:	55,59%	
1709.269,	150:	59,04%	
2337.306,	200:	61,96%	
2919.831,	250:	62,82%	
3563.932,	300:	64,45%	
